Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
8/16/2019 20:36,38.9,7,36,14.9,-3.9,4,-13.8,25000000000,0.089
7/23/2019 20:42,44.6,147.6,30.6,16.1,1.5,15.1,-5.5,255000000000,0.69
6/30/2019 16:52,21.2,129.5,59,42.3,25.2,31.2,-13.3,32000000000,0.11
6/30/2019 8:11,2.5,168.7,,,,,,21000000000,0.076
6/22/2019 21:25,14.9,66.2,25,14.9,-13.4,6,2.5,2950000000000,6
6/20/2019 6:07,7.3,67.6,37,,,,,28000000000,0.098
5/26/2019 10:07,56.6,25.3,24.4,17.5,3.8,-5.8,16.1,42000000000,0.14
5/25/2019 6:44,19.2,89.4,29.2,15.8,0.2,-15.7,2.1,49000000000,0.16
5/22/2019 15:16,10.8,37.3,32.6,,,,,95000000000,0.29
5/21/2019 13:21,38.8,137.5,31.5,11.5,4.4,-8.5,6.4,656000000000,1.6
5/19/2019 14:47,23.6,132.8,33.3,15.2,7.3,-12.2,5.3,33000000000,0.11
5/12/2019 22:41,6.2,57.1,,,,,,21000000000,0.076
5/4/2019 15:35,28.4,88.3,26.5,,,,,22000000000,0.079
4/22/2019 21:42,48.8,67.8,33.3,11.4,3.4,-4.2,10,124000000000,0.37
4/14/2019 17:54,18.3,74.6,30.6,15.9,-2.5,5.9,-14.6,29000000000,0.1
4/6/2019 11:59,56.5,94.9,41.5,18.1,6.2,11.1,-12.9,70000000000,0.22
4/4/2019 22:19,35.3,93.9,,,,,,28000000000,0.098
3/27/2019 12:50,41.8,7.4,,,,,,22000000000,0.079
3/19/2019 2:06,24,140.3,28.7,16.2,10.2,0.4,12.6,20000000000,0.073
3/15/2019 12:26,63.7,95.7,31.5,14.4,5.4,-13.2,1.7,46000000000,0.15
2/18/2019 10:00,15.5,25.3,26,20.8,-16.6,-12.6,0.6,1960000000000,4.2
2/1/2019 18:17,22.5,83.8,23.7,16.3,-2.4,13.6,8.7,579000000000,1.4
1/29/2019 20:47,,,,,,,,25000000000,0.089
1/22/2019 9:18,18,6.5,42.5,11.6,-8.6,-5.9,5,36000000000,0.12
12/23/2018 23:38,47.5,174.4,31.8,16.5,9.9,7.6,10.8,89000000000,0.27
12/18/2018 23:48,56.9,172.4,26,13.6,6.3,-3,-31.2,31300000000000,49
11/20/2018 17:30,25.3,6.7,27.4,17.4,-10.1,13.9,3,422000000000,1.1
11/17/2018 21:48,47.3,172.9,32.5,19.1,7.6,17.3,-2.7,220000000000,0.61
11/15/2018 8:02,42,57,,,,,,20000000000,0.073
11/14/2018 4:03,37.6,83.5,37,,,,,38000000000,0.13
10/24/2018 21:19,6.7,148.6,33.3,,,,,47000000000,0.16
10/22/2018 7:11,,,,,,,,26000000000,0.092
10/5/2018 0:27,39.8,31.7,31.5,14.7,-13.2,-6.5,-0.4,38000000000,0.13
9/25/2018 14:10,23.5,56.8,33,16.5,-16.2,2.8,0.6,806000000000,1.9
9/25/2018 0:16,34.3,44.9,40.7,12.5,-11,2.5,-5.5,53000000000,0.17
9/20/2018 18:29,67.3,75.1,,11.1,-5.6,-7.9,5.5,83000000000,0.26
9/17/2018 1:08,6.8,27.8,,,,,,150000000000,0.43
9/13/2018 0:51,42.5,50.1,,,,,,42000000000,0.14
8/27/2018 4:36,1.7,141.4,33,16.1,9.8,-9.6,-8.4,24000000000,0.086
8/21/2018 12:26,39.2,162.9,37,,,,,22000000000,0.079
7/27/2018 9:35,58.8,105.8,32,,,,,105000000000,0.32
7/25/2018 21:55,76.9,69,43.3,24.4,20.4,12.9,-3.8,877000000000,2.1
7/17/2018 15:17,82.5,136.7,,,,,,211000000000,0.59
6/26/2018 17:51,32,12.1,63,14.1,-10,-1,-9.9,29000000000,0.1
6/21/2018 1:16,52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1220000000000,2.8
6/2/2018 16:44,21.2,23.3,28.7,16.9,0.9,-16.4,3.9,375000000000,0.98
5/12/2018 3:26,6.5,173.7,34,,,,,193000000000,0.54
5/8/2018 2:27,32,60.7,,,,,,73000000000,0.23
5/3/2018 7:23,46.9,7.5,39,11.5,1.3,-2.1,-11.2,38000000000,0.13
4/30/2018 13:17,45.5,1.4,34,13.1,8.7,-9.5,2.5,30000000000,0.1
4/21/2018 12:06,59,45.8,28.2,14.6,7.1,-4.6,11.9,36000000000,0.12
4/19/2018 14:02,7.5,3.6,30,20.9,-9.1,-2.5,18.6,72000000000,0.23
4/19/2018 13:39,22.2,72.6,31.5,10.9,-5.9,-9.1,1.4,512000000000,1.3
4/7/2018 3:05,72.4,78.7,31.5,,,,,86000000000,0.27
2/21/2018 1:28,13.5,37.1,31.5,13.1,-0.9,13.1,-0.4,71000000000,0.22
2/15/2018 13:38,43.8,1.1,50.7,,,,,27000000000,0.095
2/12/2018 2:15,15.9,58.9,,,,,,39000000000,0.13
2/8/2018 22:21,42.9,179.7,43.5,,,,,259000000000,0.7
2/1/2018 12:21,19.4,104.3,37,16.5,8.1,-8.4,-11.7,190000000000,0.53
1/22/2018 22:06,14,17.4,,,,,,32000000000,0.11
1/15/2018 2:18,52,57.2,43.6,23.7,18.6,-12.1,8.4,199000000000,0.56
1/6/2018 21:24,55.8,52.5,26,21,0.8,2.2,-20.9,28000000000,0.098
1/6/2018 18:24,39.5,12.8,26,,,,,36000000000,0.12
12/31/2017 9:36,63.5,101.3,64.5,,,,,44000000000,0.15
12/29/2017 12:47,14.6,49.5,38,,,,,110000000000,0.33
12/28/2017 17:45,,,,,,,,114000000000,0.34
12/15/2017 13:14,60.2,170,20,31.4,27.8,-4.7,-13.9,3110000000000,6.4
11/19/2017 4:17,24.2,135,33.3,11.4,6.7,-3.4,8.6,28000000000,0.098
10/26/2017 22:05,21.3,177.6,42.5,,,,,558000000000,1.4
10/23/2017 15:31,28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5,24000000000,0.086
10/15/2017 4:33,65.2,128.2,24.1,15.9,9.5,-8.3,9.7,33000000000,0.11
10/9/2017 12:51,18.3,64.1,,,,,,30000000000,0.1
10/4/2017 12:07,28.1,99.4,37,14.6,-8.5,-9,7.8,192000000000,0.54
9/5/2017 5:11,49.3,116.9,36,14.7,12.7,-6.1,-4.2,38000000000,0.13
7/31/2017 22:01,24.7,118.5,,,,,,58000000000,0.19
7/23/2017 6:12,6.6,69.7,38,17.2,-0.4,8.7,-14.8,35000000000,0.12
7/13/2017 9:30,23.1,60.7,35,13.7,-10,-6.5,-6.8,73000000000,0.23
6/30/2017 14:26,34.3,134.5,20,15.2,10.9,-9.7,4.2,94000000000,0.29
6/23/2017 20:21,57,143.7,35.1,24.3,17.7,13.1,-10.3,184000000000,0.52
6/20/2017 13:41,54.2,133,33.3,13.6,8.7,-5.7,8.8,636000000000,1.6
5/24/2017 7:03,9.1,101.8,46,18.4,-6.5,-16.5,-5,90000000000,0.28
5/22/2017 17:44,49.6,157.6,33,,,,,35000000000,0.12
5/14/2017 9:30,26,32.4,33,,,,,35000000000,0.12
4/30/2017 21:28,25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,150000000000,0.43
3/11/2017 4:51,28.3,60.2,28,,,,,1260000000000,2.9
3/9/2017 4:16,40.5,18,23,36.5,-15.3,25.8,-20.8,400000000000,1
3/8/2017 22:21,26.1,174.9,37,,,,,72000000000,0.23
2/25/2017 1:22,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000,0.21
2/22/2017 18:47,50.7,66,,,,,,38000000000,0.13
