,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
199,2018-01-06 21:24:00,55.8,52.5,26.0,21.0,0.8,2.2,-20.9,28000000000,0.1,2018,January
204,2017-12-15 13:14:00,60.2,170.0,20.0,31.4,27.8,-4.7,-13.9,3110000000000,6.4,2017,December
205,2017-11-19 04:17:00,24.2,135.0,33.3,11.4,6.7,-3.4,8.6,28000000000,0.1,2017,November
207,2017-10-23 15:31:00,28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5,24000000000,0.09,2017,October
208,2017-10-15 04:33:00,65.2,128.2,24.1,15.9,9.5,-8.3,9.7,33000000000,0.11,2017,October
210,2017-10-04 12:07:00,28.1,99.4,37.0,14.6,-8.5,-9.0,7.8,192000000000,0.54,2017,October
211,2017-09-05 05:11:00,49.3,116.9,36.0,14.7,12.7,-6.1,-4.2,38000000000,0.13,2017,September
213,2017-07-23 06:12:00,6.6,69.7,38.0,17.2,-0.4,8.7,-14.8,35000000000,0.12,2017,July
214,2017-07-13 09:30:00,23.1,60.7,35.0,13.7,-10.0,-6.5,-6.8,73000000000,0.23,2017,July
215,2017-06-30 14:26:00,34.3,134.5,20.0,15.2,10.9,-9.7,4.2,94000000000,0.29,2017,June
216,2017-06-23 20:21:00,57.0,143.7,35.1,24.3,17.7,13.1,-10.3,184000000000,0.52,2017,June
217,2017-06-20 13:41:00,54.2,133.0,33.3,13.6,8.7,-5.7,8.8,636000000000,1.6,2017,June
218,2017-05-24 07:03:00,9.1,101.8,46.0,18.4,-6.5,-16.5,-5.0,90000000000,0.28,2017,May
221,2017-04-30 21:28:00,25.7,56.2,32.4,21.5,-13.4,-14.2,8.9,150000000000,0.43,2017,April
223,2017-03-09 04:16:00,40.5,18.0,23.0,36.5,-15.3,25.8,-20.8,400000000000,1.0,2017,March
225,2017-02-25 01:22:00,29.5,13.5,25.4,12.2,-7.6,-9.3,2.2,65000000000,0.21,2017,February
