Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2019-02-18 10:00:00.000000,15.5,25.3,26.0,20.8,-16.6,-12.6,0.6,1960000000000,4.2,2019
2019-02-01 18:17:00.000000,22.5,83.8,23.7,16.3,-2.4,13.6,8.7,579000000000,1.4,2019
2019-01-29 20:47:00.000000,,,,,,,,25000000000,0.09,2019
2019-01-22 09:18:00.000000,18.0,6.5,42.5,11.6,-8.6,-5.9,5.0,36000000000,0.12,2019
2018-12-23 23:38:00.000000,47.5,174.4,31.8,16.5,9.9,7.6,10.8,89000000000,0.27,2018
2018-12-18 23:48:00.000000,56.9,172.4,26.0,13.6,6.3,-3.0,-31.2,31300000000000,49.0,2018
2018-11-20 17:30:00.000000,25.3,6.7,27.4,17.4,-10.1,13.9,3.0,422000000000,1.1,2018
2018-11-17 21:48:00.000000,47.3,172.9,32.5,19.1,7.6,17.3,-2.7,220000000000,0.61,2018
2018-11-15 08:02:00.000000,42.0,57.0,,,,,,20000000000,0.07,2018
2018-11-14 04:03:00.000000,37.6,83.5,37.0,,,,,38000000000,0.13,2018
2018-10-24 21:19:00.000000,6.7,148.6,33.3,,,,,47000000000,0.16,2018
2018-10-22 07:11:00.000000,,,,,,,,26000000000,0.09,2018
2018-10-05 00:27:00.000000,39.8,31.7,31.5,14.7,-13.2,-6.5,-0.4,38000000000,0.13,2018
2018-09-25 14:10:00.000000,23.5,56.8,33.0,16.5,-16.2,2.8,0.6,806000000000,1.9,2018
2018-09-25 00:16:00.000000,34.3,44.9,40.7,12.5,-11.0,2.5,-5.5,53000000000,0.17,2018
2018-09-20 18:29:00.000000,67.3,75.1,,11.1,-5.6,-7.9,5.5,83000000000,0.26,2018
2018-09-17 01:08:00.000000,6.8,27.8,,,,,,150000000000,0.43,2018
2018-09-13 00:51:00.000000,42.5,50.1,,,,,,42000000000,0.14,2018
2018-08-27 04:36:00.000000,1.7,141.4,33.0,16.1,9.8,-9.6,-8.4,24000000000,0.09,2018
2018-08-21 12:26:00.000000,39.2,162.9,37.0,,,,,22000000000,0.08,2018
2018-07-27 09:35:00.000000,58.8,105.8,32.0,,,,,105000000000,0.32,2018
2018-07-25 21:55:00.000000,76.9,69.0,43.3,24.4,20.4,12.9,-3.8,877000000000,2.1,2018
2018-07-17 15:17:00.000000,82.5,136.7,,,,,,211000000000,0.59,2018
2018-06-26 17:51:00.000000,32.0,12.1,63.0,14.1,-10.0,-1.0,-9.9,29000000000,0.1,2018
2018-06-21 01:16:00.000000,52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1220000000000,2.8,2018
2018-06-02 16:44:00.000000,21.2,23.3,28.7,16.9,0.9,-16.4,3.9,375000000000,0.98,2018
2018-05-12 03:26:00.000000,6.5,173.7,34.0,,,,,193000000000,0.54,2018
2018-05-08 02:27:00.000000,32.0,60.7,,,,,,73000000000,0.23,2018
2018-05-03 07:23:00.000000,46.9,7.5,39.0,11.5,1.3,-2.1,-11.2,38000000000,0.13,2018
2018-04-30 13:17:00.000000,45.5,1.4,34.0,13.1,8.7,-9.5,2.5,30000000000,0.1,2018
2018-04-21 12:06:00.000000,59.0,45.8,28.2,14.6,7.1,-4.6,11.9,36000000000,0.12,2018
2018-04-19 14:02:00.000000,7.5,3.6,30.0,20.9,-9.1,-2.5,18.6,72000000000,0.23,2018
2018-04-19 13:39:00.000000,22.2,72.6,31.5,10.9,-5.9,-9.1,1.4,512000000000,1.3,2018
2018-04-07 03:05:00.000000,72.4,78.7,31.5,,,,,86000000000,0.27,2018
2018-02-21 01:28:00.000000,13.5,37.1,31.5,13.1,-0.9,13.1,-0.4,71000000000,0.22,2018
2018-02-15 13:38:00.000000,43.8,1.1,50.7,,,,,27000000000,0.1,2018
2018-02-12 02:15:00.000000,15.9,58.9,,,,,,39000000000,0.13,2018
