Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
1996-08-06 04:50:00.000000,,,,,,,,130000000000,0.38,1996
1996-08-05 19:27:00.000000,,,,,,,,220000000000,0.61,1996
1996-08-05 15:19:00.000000,,,,,,,,80000000000,0.25,1996
1996-07-17 03:16:00.000000,31.8,111.4,,,,,,50000000000,0.16,1996
1996-07-12 14:04:00.000000,20.7,93.6,,,,,,32000000000,0.11,1996
1996-06-25 11:22:00.000000,,,,,,,,21000000000,0.08,1996
1996-05-08 01:02:00.000000,,,,,,,,28000000000,0.1,1996
1996-05-01 13:19:00.000000,,,,,,,,35000000000,0.12,1996
1996-03-31 00:53:00.000000,,,,,,,,27000000000,0.1,1996
1996-03-30 04:03:00.000000,31.1,84.3,,,,,,120000000000,0.36,1996
1996-03-29 20:30:00.000000,21.5,158.1,,,,,,128000000000,0.38,1996
1996-03-25 17:00:00.000000,,,,,,,,44000000000,0.15,1996
1996-03-13 08:31:00.000000,,,,,,,,230000000000,0.63,1996
1996-02-16 07:03:00.000000,,,,,,,,55000000000,0.18,1996
1996-02-15 02:38:00.000000,76.0,127.0,,,,,,50000000000,0.16,1996
1996-01-18 17:10:00.000000,,,,,,,,120000000000,0.36,1996
1996-01-15 13:44:00.000000,59.8,175.8,,,,,,260000000000,0.71,1996
1995-12-27 12:55:00.000000,,,,,,,,22000000000,0.08,1995
1995-12-22 13:26:00.000000,70.2,73.3,,,,,,450000000000,1.1,1995
1995-12-09 19:54:00.000000,2.9,79.0,,,,,,120000000000,0.36,1995
1995-11-25 05:29:00.000000,,,,,,,,29000000000,0.1,1995
1995-11-13 03:10:00.000000,,,,,,,,21000000000,0.08,1995
1995-10-01 02:42:00.000000,,,,,,,,35000000000,0.12,1995
1995-09-09 07:38:00.000000,,,,,,,,500000000000,1.3,1995
1995-08-24 21:54:00.000000,,,,,,,,120000000000,0.36,1995
1995-08-17 16:39:00.000000,,,,,,,,160000000000,0.46,1995
1995-08-06 04:38:00.000000,,,,,,,,55000000000,0.18,1995
1995-08-05 17:14:00.000000,11.6,104.3,,,,,,200000000000,0.56,1995
1995-07-11 18:38:00.000000,28.5,93.3,,,,,,130000000000,0.38,1995
1995-07-09 18:20:00.000000,0.9,66.3,,,,,,25000000000,0.09,1995
1995-07-07 17:33:00.000000,40.2,76.1,,,,,,140000000000,0.41,1995
1995-06-09 09:28:00.000000,,,,,,,,25000000000,0.09,1995
1995-04-02 12:32:00.000000,,,,,,,,25000000000,0.09,1995
1995-02-16 13:05:00.000000,16.7,141.7,,,,,,60000000000,0.19,1995
1995-01-18 10:17:00.000000,51.5,115.4,,,,,,70000000000,0.22,1995
1995-01-10 21:08:00.000000,,,,,,,,25000000000,0.09,1995
1995-01-04 04:16:00.000000,46.4,12.1,,,,,,41000000000,0.14,1995
1995-01-02 20:41:00.000000,,,,,,,,30000000000,0.1,1995
1994-12-18 12:45:00.000000,,,,,,,,50000000000,0.16,1994
1994-12-16 09:41:00.000000,42.2,27.6,,,,,,50000000000,0.16,1994
1994-11-03 20:01:00.000000,6.5,89.0,,,,,,2350000000000,5.0,1994
1994-11-01 06:50:00.000000,1.5,84.5,,,,,,1000000000000,2.3,1994
1994-10-27 04:21:00.000000,,,,,,,,320000000000,0.85,1994
1994-10-20 00:11:00.000000,45.2,1.9,,,,,,87000000000,0.27,1994
1994-10-08 03:24:00.000000,,,,,,,,66000000000,0.21,1994
1994-09-22 04:22:00.000000,,,,,,,,67000000000,0.21,1994
1994-08-15 23:16:00.000000,,,,,,,,164000000000,0.47,1994
1994-06-15 00:02:00.000000,45.0,73.5,,,,,,41000000000,0.14,1994
1994-06-03 20:48:00.000000,,,,,,,,509000000000,1.3,1994
1994-05-29 09:30:00.000000,52.8,2.3,,,,,,384000000000,1.0,1994
1994-02-01 22:38:00.000000,2.7,164.1,,,,,,18200000000000,30.0,1994
1993-11-29 17:48:00.000000,26.5,78.3,,,,,,26000000000,0.09,1993
1993-10-31 03:39:00.000000,51.3,100.9,,,,,,40000000000,0.13,1993
1991-10-04 09:22:00.000000,78.7,6.3,,,,,,550000000000,1.4,1991
1990-10-01 03:51:00.000000,7.5,142.8,,,,,,2500000000000,5.2,1990
1988-04-15 03:03:00.000000,4.1,124.3,,,,,,7580000000000,14.0,1988
